nombre,direccion,telefono,pais
Ailinco Naval e Industrial Chile Ltda.,El Molino 1270 Coquimbo,51 - 249 744,Chile
Altamar Servicios Navales SAC,Calle Gabriel Chariarse 880 – Of. 201 Miraflores Lima,51 1 - 444 1255,Perú
Alwoplast S.A,Camino a Niebla s/n km 8.5 Valdivia,63 - 203 200,Chile
ASMAR,Av. Altamirano s/n Valparaíso,32 - 235 5000,Chile
